publish_date,source,headline,url,location,tone,framing,group_mentions,metaphors,euphemisms,absences,grief_handling,blame_or_agency,commodification_of_death
"Mar 24, 2020",The New York Times,Rome's Homeless Don't Have the Luxury of Staying Home,https://www.nytimes.com/2020/03/24/world/europe/italy-coronavirus-homeless.html,Oregon; Rome; Indiana,tragic,systemic injustice,homeless; people in extreme poverty,,,poverty; healthcare access; government responsibility,absent,"The article implicitly assigns responsibility to systemic issues, highlighting the inability of the homeless to comply with public health directives due to lack of resources.",The article does not commodify death but highlights the vulnerability of a marginalized group.
"Mar 12, 2020",The New York Times,Wuhan Rounds Up the Infected as Death Toll in China Jumps,https://www.nytimes.com/2020/02/06/world/asia/coronavirus-china.html,Maine; Oregon; San Diego; China; Washington; California; The United States; Massachusetts; Wuhan; United States; Indiana; Beijing,tragic,political failure,elderly; families; healthcare workers; government officials,war; fight; disaster,taken away just like a dead dog or a dead pig,poverty; racism; healthcare access,communal,The article assigns responsibility to the Chinese government for mishandling the crisis and suppressing information.,"The article treats death as a political talking point, highlighting the government's failure and public outrage."
"Mar 21, 2020",The New York Times,Coronavirus in N.Y.: 'Deluge' of Cases Begins Hitting ...,https://www.nytimes.com/2020/03/20/nyregion/ny-coronavirus-hospitals.html,N’T; Oregon; N.Y.; New York City; New York State; Indiana; Mich,tragic,preventable,elderly; working-class; restaurant workers; Broadway workers; unemployed,uncharted territory; deluge; insane; go time,slowly die; let go of staff; very harsh reality,racism; healthcare access; long COVID; workplace safety,communal,The article suggests that the deaths and suffering could have been prevented with earlier action and better resource management.,"The article treats death as a tragic outcome that could have been mitigated, rather than as a statistic or political talking point."
"Mar 23, 2020",The New York Times,1000 Inmates Will Be Released From N.J. Jails to Curb ...,https://www.nytimes.com/2020/03/23/nyregion/coronavirus-nj-inmates-release.html,Tulsa; New Jersey; Oregon; New Jersey’S; Okla.; Cleveland; Indiana; New York; N.J.,hopeful,preventable,incarcerated people,disaster,,poverty; racism; healthcare access; elder neglect; long COVID; workplace safety,absent,"The article suggests that the spread of COVID-19 in jails is preventable through policy actions, implying systemic responsibility.","The article treats the release of inmates as a policy measure to manage risk, potentially reducing human lives to a statistic or logistical challenge."
"Mar 10, 2020",The New York Times,Cruise Line Ads Get Caught in a Coronavirus News Cycle,https://www.nytimes.com/2020/03/10/business/media/cruise-ads-coronavirus.html,California; Indiana,indifferent,other,,,,elderly; healthcare access; systemic injustice; racism; poverty; long COVID; workplace safety,absent,The article does not assign responsibility for COVID deaths and suggests the deaths were unavoidable by not addressing them directly.,"The article treats death as a statistic and a cost of doing business, focusing on advertising spending rather than the human impact of the pandemic."
"Mar 7, 2020",The New York Times,"For Urban Poor, the Coronavirus Complicates Existing ...",https://www.nytimes.com/2020/03/07/us/coronavirus-minorities.html,Indiana,tragic,systemic injustice,urban poor; homeless; working-class; people with chronic illnesses,breeding ground,,poverty; healthcare access; racism; workplace safety,absent,"The article suggests systemic factors like lack of healthcare access and economic necessity contribute to vulnerability, implying some level of preventability.","The article implicitly treats death as a consequence of systemic neglect and economic necessity, without overtly reducing it to statistics or costs."
"Mar 6, 2020",The New York Times,"With Thousands Trapped on Board, Cruise Ship Awaits ...",https://www.nytimes.com/2020/03/05/us/cruise-ship-california.html,California; Calif.; The United States; Richmond; Oregon; Indiana,neutral,inevitable,passengers; crew members,military operation,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,"The article does not assign specific blame or agency, suggesting the situation is managed with caution and is part of a broader, inevitable spread.","The article treats the situation as a logistical challenge and a public health issue, with death as a statistic within the broader context of the virus's spread."
"Mar 11, 2020",The New York Times,Coronavirus in N.Y.: Inside New Rochelle's 'Containment ...,https://www.nytimes.com/2020/03/12/nyregion/coronavirus-new-rochelle-containment.html,New York’S; Idaho; China; Washington; Rochester; United States; Nassau County; Indiana; The United States; Bronxville; Rockland County; Jones Beach; Maine; New Rochelle’S; Scarsdale; North Avenue; New York City; New Rochelle; The Long Island Sound; New York; Hmm; Oregon; N.Y.; Glen Island; Young Israel; Israel; Staten Island; South Korea; America; Canada; New York City’S,neutral,inevitable,elderly; healthcare workers; National Guard; community members,war; natural disaster; front lines; containment zone,containment; quarantine; keep people safe,poverty; racism; healthcare access; long COVID; workplace safety,communal,"The article suggests the response is a collective effort involving government and healthcare workers, without assigning blame for the outbreak itself.","The article treats the situation as a public health challenge with statistics and logistical responses, rather than focusing on individual deaths."
"Mar 15, 2020",The New York Times,"For Danilo Gallinari, the N.B.A. Shutdown Wasn't So Sudden",https://www.nytimes.com/2020/03/15/sports/basketball/danilo-gallinari-italy.html,Utah; Italy; North America; Oklahoma City; Indiana; China,neutral,inevitable,athletes; Italians,shutdown,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,"The article does not assign blame or agency, suggesting the events were unavoidable.","The article treats the situation as a significant event in sports, focusing on the impact on the league rather than the human cost."
"Mar 13, 2020",The New York Times,Two Women Fell Sick From the Coronavirus. One Survived.,https://www.nytimes.com/interactive/2020/03/13/world/asia/coronavirus-death-life.html,Russia; Wuzhizhou Island; Maine; Oregon; China; Sichuan; Connecticut; Wuhan; Indiana; Fever,tragic,personal tragedy,medical professionals; young mothers,fight; battle; edge of death,walking on the edge of death; condition had suddenly deteriorated,elderly; racial minorities; working-class; disabled; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,private,"The article suggests the deaths were unpredictable and unavoidable, emphasizing the virus's unpredictable nature.",The article treats death as a personal tragedy rather than a statistic or political talking point.
"Mar 2, 2020",The New York Times,"In Graying Japan, Many Are Vulnerable but Few Are Being ...",https://www.nytimes.com/2020/02/29/world/asia/japan-elderly-coronavirus.html,Japan; Oregon; South Korea; China; Graying Japan; Italy; Tokyo; Indiana,tragic,inevitable,elderly; young; service providers; family members,life-or-death mission; battle,,poverty; racism; healthcare access; long COVID,absent,"The article suggests a lack of adequate response from the Japanese government, implying some level of responsibility for not taking aggressive action sooner.","The article treats death as a statistic, focusing on numbers and rates of infection and death."
